,Dec,Name,Proj1,Proj2,RA
278,13.860493,SDSSJ010155.19+135137.7,-47.892673,-66.068375,15.479981
279,13.549786,SDSSJ010028.36+133259.2,-10.467457,-67.83778,15.118167999999999
280,14.248707000000001,SDSSJ005600.20+141455.3,64.86941,-22.518652,14.000869
281,15.028526000000001,SDSSJ010349.29+150142.6,-17.829649,51.90691,15.955385999999999
282,13.877463,SDSSJ011731.27+135238.8,-7.098218,-12.235545,19.380314000000002
283,13.952577,SDSSJ011540.68+135709.2,30.585138,-23.350069,18.919507
284,14.932317999999999,SDSSJ011358.27+145556.3,-64.9535,-17.761702,18.492832999999997
285,15.261925,SDSSJ011721.27+151542.9,-56.037983,64.49315,19.338629
286,15.168485999999998,SDSSJ011800.71+151006.5,74.63095,-4.8295736,19.502983999999998
287,14.496895,SDSSJ012201.19+142948.8,29.079082,-53.29261,20.504988
288,13.473729999999998,SDSSJ012212.38+132825.4,-54.238476,-31.418758,20.551594
289,15.07386,SDSSJ011847.53+150425.8,27.073769,23.603613,19.698048
290,14.711517,SDSSJ012017.90+144241.4,-51.903946,3.483207,20.074621
291,14.735538,SDSSJ012144.83+144407.9,21.242342,-10.436134,20.436823
292,15.475477,SDSSJ012537.60+152831.7,-46.040653,-13.600166,21.406696
293,14.197709,SDSSJ014023.83+141151.7,69.31375,-30.992472,25.099303
294,13.229543,SDSSJ020731.47+131346.3,11.501413,7.9462066,31.881144
295,12.784113,SDSSJ020313.92+124702.8,54.720936,-12.340561,30.808026
296,12.457799000000001,SDSSJ020103.08+122728.0,-72.834625,32.42097,30.26285
297,12.388643,SDSSJ020044.50+122319.1,13.707407,-53.104477,30.185440999999997
298,14.5223,SDSSJ020025.51+143120.2,48.224426,-12.421802,30.106327
299,14.840729000000001,SDSSJ020141.61+145026.6,46.55369,18.302122,30.423378000000003
300,14.129431,SDSSJ020357.97+140745.9,-15.332576,-63.59812,30.991545000000002
301,12.896956,SDSSJ021405.24+125349.0,35.016827,-34.587936,33.521843
302,14.087476,SDSSJ020805.70+140514.9,17.89999,8.756895,32.023759999999996
303,13.519938,SDSSJ021242.36+133111.7,47.08023,-0.19943622,33.176512
304,14.156506,SDSSJ021250.48+140923.4,38.73922,-38.80972,33.210361999999996
305,15.003606,SDSSJ014257.72+150012.9,29.885347,-27.302717,25.740510999999998
306,14.644463,SDSSJ014240.88+143840.0,53.38091,45.029816,25.670344
307,14.347622,SDSSJ014223.87+142051.4,50.803368,47.30862,25.599459
308,13.933968,SDSSJ014517.82+135602.2,-52.988247,-12.358547,26.324251
309,14.454668,SDSSJ015014.16+142716.8,-23.062881,-62.357025,27.55903
310,12.906342,SDSSJ015312.91+125422.8,66.01574,22.896662,28.303794
311,14.712837,SDSSJ015546.50+144246.2,-20.447765,-3.4649534,28.943752000000003
312,14.057141,SDSSJ015237.24+140325.7,-34.63268,41.347,28.155193
313,36.644631,SDSSJ073453.16+363840.6,8.95865,56.84487,113.721531
314,37.670589,SDSSJ073506.59+374014.1,27.952333,5.12099,113.77747600000001
315,37.355637,SDSSJ073403.51+372120.2,-9.452331,-67.62824,113.514656
316,37.620377000000005,SDSSJ073314.24+373713.3,-53.113377,53.692375,113.30934199999999
317,36.416587,SDSSJ073135.77+362459.7,65.38903,-26.88122,112.89905300000001
318,36.687715000000004,SDSSJ072922.18+364115.7,8.945429,68.31225,112.34244199999999
319,38.863082,SDSSJ074055.27+385147.0,-43.39479,-50.273052,115.230332
