name,redshift_1,RAx,DECx,TARGET_FLAG_TARGET,UNIFORM_TARGET,COL_FLG
SDSSJ081921.54+330404.4,1.619647,124.83975,33.06788888888888,,,
SDSSJ081625.03+324145.7,2.269414,124.10429166666667,32.69602777777777,,,
SDSSJ081509.28+322930.5,2.183295,123.78866666666663,32.49180555555555,2,1,1
SDSSJ081401.38+325048.0,2.223213,123.50574999999999,32.84666666666666,1048578,1,1
SDSSJ081358.69+325247.8,2.213829,123.49454166666666,32.87994444444444,,,
SDSSJ081308.21+324830.7,2.255987,123.28420833333334,32.80852777777777,,,
SDSSJ081152.58+324100.7,2.200964,122.96908333333333,32.68352777777777,,,
SDSSJ082206.66+344806.1,2.283515,125.52774999999995,34.801694444444436,,,
SDSSJ082140.32+340057.6,2.213408,125.41799999999999,34.015999999999984,,,
SDSSJ081834.47+343945.8,2.316842,124.64362500000001,34.662722222222214,,,
SDSSJ081618.82+344634.1,2.340025,124.07841666666667,34.77613888888889,,,
SDSSJ081109.98+343054.2,2.199505,122.79158333333329,34.51505555555555,2,1,1
SDSSJ081512.23+354219.5,1.672504,123.80095833333333,35.70541666666665,,,
SDSSJ081707.74+353454.7,2.0731,124.28224999999999,35.5818611111111,,,
SDSSJ082334.07+372830.5,2.132527,125.89195833333335,37.47513888888887,,,
SDSSJ082221.45+363620.8,2.193394,125.58937499999996,36.60577777777778,1048578,1,1
SDSSJ081942.64+370900.5,2.222419,124.92766666666665,37.150138888888875,,,
SDSSJ081911.11+380445.7,2.317514,124.79629166666663,38.07936111111111,,,
SDSSJ082940.66+382419.2,2.330934,127.41941666666665,38.405333333333324,1,1,1
SDSSJ082449.56+393843.0,1.915182,126.20650000000002,39.64527777777777,1048578,1,1
SDSSJ082418.45+392812.8,2.257449,126.07687500000002,39.470222222222205,1048578,1,1
SDSSJ082102.05+400748.4,1.936051,125.25854166666664,40.130111111111106,1048578,1,1
SDSSJ082920.63+395000.1,2.248242,127.33595833333335,39.8333611111111,,,
SDSSJ083108.02+402531.0,2.333281,127.78341666666667,40.42527777777779,2,1,1
SDSSJ083354.74+354836.7,2.174529,128.47808333333333,35.810194444444434,34603008,0,0
SDSSJ083303.32+353559.9,2.338774,128.26383333333337,35.59997222222221,2,1,1
SDSSJ083050.46+352720.9,2.171673,127.71025000000002,35.45580555555556,2,1,1
SDSSJ082545.30+353801.0,1.594124,126.43874999999996,35.633611111111094,,,
SDSSJ082604.15+355022.1,2.319646,126.51729166666668,35.83947222222222,1048579,1,1
SDSSJ082507.67+360411.1,1.577202,126.28195833333334,36.06975,2,1,1
SDSSJ082759.49+370105.0,2.174298,126.997875,37.018055555555556,1048578,1,1
SDSSJ082803.81+362915.2,2.282976,127.015875,36.48755555555555,,,
SDSSJ082818.81+362758.7,2.3681,127.078375,36.46630555555556,,,
SDSSJ082758.94+360057.1,2.396789,126.99558333333336,36.01586111111111,,,
SDSSJ083003.64+360906.9,1.71504,127.51516666666666,36.15191666666666,1048578,1,1
SDSSJ083157.16+365911.5,2.252413,127.98816666666666,36.98652777777777,,,
SDSSJ083342.80+361429.2,2.261335,128.42833333333334,36.24144444444445,2,1,1
SDSSJ083545.31+373015.0,1.538362,128.93879166666667,37.50416666666667,,,
SDSSJ083519.63+365218.8,2.207752,128.83179166666665,36.87188888888887,,,
SDSSJ083107.62+363728.7,2.178838,127.78175000000002,36.62463888888888,3,1,1
SDSSJ083622.06+375252.0,1.679914,129.09191666666663,37.88111111111111,1048579,1,1
SDSSJ083758.02+375334.0,1.592824,129.49174999999997,37.89277777777778,,,
SDSSJ083546.08+394940.8,2.200315,128.942,39.828,34603008,0,0
SDSSJ083428.78+384154.4,2.211574,128.61991666666665,38.69844444444443,34603008,0,0
SDSSJ083705.53+411300.5,2.275138,129.2730416666667,41.216805555555545,2,1,1
SDSSJ083819.81+403202.6,2.232676,129.58254166666669,40.534055555555554,,,
SDSSJ084034.18+401621.1,1.876648,130.1424166666667,40.272527777777775,1048578,1,1
SDSSJ084154.51+373330.7,2.212484,130.477125,37.558527777777776,2,1,1
SDSSJ084235.92+382026.6,2.206183,130.64966666666666,38.34072222222221,1048579,1,1
SDSSJ083942.11+380526.4,2.35202,129.92545833333338,38.09066666666667,3,1,1
