Name,RA_1,Dec_1,SDSS_NAME,RA_2,DEC_2,REDSHIFT,TARGET_FLAG_TARGET,UNIFORM_TARGET,COL_FLAG,MI_Z2,BAL_FLAG,FIRST_FR_TYPE,FINT_REST6CM_MJY_OBS,LOGFNU2500A_ERGS_OBS,R_6CM_2500A,LOGL3000,LOGL1350,Separation
SDSSJ133030.76+032835.1,202.628174,3.476442,133030.76+032835.1,202.628173828125,3.4764420986175500,1.8724000453949000,1048580,0,1,-26.74817709416730,0,0,0.0,-27.085511501601000,-1.0,45.833875137478400,46.07264866902120,7.12379977237684E-04
SDSSJ133120.87+030643.4,202.836997,3.112082,133120.87+030643.4,202.8369903564450,3.112082004547120,1.7178000211715700,4,0,1,-26.49394606141540,0,0,0.0,-27.04850849210620,-1.0,45.86726810441330,45.99311961920750,0.023881531119262000
SDSSJ133729.08+011709.9,204.371208,1.286087,133729.08+011709.9,204.37120056152300,1.2860870361328100,1.8056000471115100,1048581,0,1,-26.743173594422500,0,0,0.0,-27.022969463888400,-1.0,45.939109369748500,46.08388371077800,0.026772085831703800
SDSSJ133844.43+015503.6,204.685166,1.917678,133844.43+015503.6,204.68516540527300,1.9176779985427900,1.961300015449520,1048580,0,1,-27.202580723262100,0,0,0.0,-26.803370494946400,-1.0,46.224094211496100,46.42199113061030,0.002139823006063880
SDSSJ133603.76+022024.9,204.015673,2.340265,133603.76+022024.9,204.0156707763670,2.3402650356292700,1.7760000228881800,1048580,0,1,-27.04408593432160,0,0,0.0,-26.884582438016500,-1.0,46.07503483286940,46.246444258565500,0.007999429787949560
SDSSJ133522.46+013107.7,203.843618,1.518831,133522.46+013107.7,203.84361267089800,1.5188310146331800,1.9226000308990500,4,0,1,-27.385301956130400,0,0,0.0,-26.759433814354500,-1.0,46.231162303270900,46.478705425222100,0.01917809771711970
SDSSJ133533.69+032610.8,203.890405,3.436342,133533.69+032610.8,203.89041137695300,3.4363420009613000,1.906999945640560,1048580,0,1,-27.103575566738100,0,0,0.0,-26.952528414957400,-1.0,46.010748793629500,46.2956141900645,0.02291575501509790
SDSSJ133511.90+025309.4,203.7996,2.88597,133511.90+025309.4,203.7996063232420,2.885970115661620,1.8514000177383400,3145749,0,1,-27.93042146085980,0,1,98.74447748491180,-26.55287322117240,352.6842269594010,46.44419094973300,46.57392921529170,0.022738613805278300
SDSSJ133700.08+024925.5,204.250366,2.823771,133700.08+024925.5,204.2503662109380,2.8237709999084500,2.0445001125335700,1048580,0,1,-26.699613561745800,0,0,0.0,-27.056946918038800,-1.0,45.97424445096130,46.18150974343470,7.58452993248603E-04
SDSSJ133701.78+022807.8,204.257436,2.468848,133701.78+022807.8,204.25743103027300,2.4688479900360100,2.067500114440920,20,0,1,-26.681393522442700,0,1,5.812514859036370,-27.149582389039400,82.0250427044436,45.89538733346020,46.12804813491700,0.017874444984518200
