col1,Name,RA_1_1,Dec_1_1,SDSS_NAME,RA_2,DEC_2,REDSHIFT,TARGET_FLAG_TARGET,UNIFORM_TARGET,COL_FLAG,MI_Z2,BAL_FLAG,FIRST_FR_TYPE,FINT_REST6CM_MJY_OBS,LOGFNU2500A_ERGS_OBS,R_6CM_2500A,LOGL3000,LOGL1350,Separation_1,RA_1_2,Dec_1_2,r_z,Speak,e_Speak,Sint,e_Sint,Separation_1a,RA,DEC,Total_flux,E_Total_flux,Peak_flux,E_Peak_flux,P_sidelobe,Separation
3451,SDSSJ120811.32+411404.4,182.047173,41.234572,120811.32+411404.4,182.047180175781,41.2345733642578,1.74000000953674,1.34225419E8,1.0,1,-27.6023084034078,0.0,1.0,1.12104806988686,-26.5550046812562,4.02373079226177,46.372470447182096,46.4727062652663,0.0200379311356253,,,,,,,,,182.04719830058812,41.234598826115004,1.1728793454500002,0.26332887118000003,0.9025952433,0.12426508926999998,0.02,0.11839826215957006
5984,SDSSJ124751.37+262159.3,191.964068,26.366497,124751.37+262159.3,191.964065551758,26.3664970397949,1.66400003433228,1055747.0,1.0,1,-26.8804836244508,0.0,0.0,0.0,-26.9356318520777,-1.0,45.9455076396362,45.9859362738611,0.0078980990514923,,,,,,,,,191.9641681914267,26.36640834002571,1.1032118816099998,0.24387812756,0.80419207772,0.1105511596,-1.0,0.45421403997516097
7032,SDSSJ130541.91+184328.6,196.424666,18.724625,130541.91+184328.6,196.424667358398,18.7246246337891,2.06240010261536,1048579.0,1.0,1,-28.2566469126371,0.0,0.0,0.0,-26.5115268303873,-1.0,46.5819904780679,46.524747086544,0.0048153912588138,,,,,,,,,196.42475814135395,18.72466971639506,2.37492033165,0.25144899613,1.9466335376,0.12449138619,-1.0,0.35299560670096597
2992,SDSSJ141151.97+550948.7,212.966568,55.163541,141151.97+550948.7,212.966567993164,55.1635398864746,1.88839995861053,11.0,1.0,1,-27.044172481205,1.0,2.0,38.8342992874676,-26.9301440622737,330.643154422631,46.0877774644905,46.20565557098,0.004008716064692,212.966568,55.163541,VI,,,,,0.0,212.96659383986253,55.16352017773274,3.8587564264199994,0.24394872236000004,3.0712316256700003,0.11977762607,-1.0,0.09188424247518312
1204,SDSSJ235321.03-085930.6,358.337649,-8.991838,235321.03-085930.6,358.337646484375,-8.9918384552002,1.64760005474091,3145748.0,0.0,1,-26.7265813424809,0.0,2.0,69.0034023156783,-26.9035029808047,552.552420365604,45.9841175765767,46.0923034497168,0.0090938226355016,,,,,,,,,358.3376685918428,-8.99178918805349,20.09847565952,0.3413871232799999,18.14810975959,0.17812258585000001,0.06,0.18902811657373111
8621,SDSSJ163333.41+132448.7,248.389226,13.41353,163333.41+132448.7,248.389221191406,13.4135303497314,1.68079996109009,1048586.0,1.0,1,-26.607749243926,0.0,1.0,17.4420104409948,-26.9924784344271,171.425323046654,45.9333062639615,46.1135862143128,0.0168857180623302,,,,,,,,,248.3892496895052,13.41353067375516,16.048534033419998,0.23723878426999997,15.282863919070001,0.1320377822,-1.0,0.08299126751610397
2729,SDSSJ114800.31+104235.3,177.001321,10.709833,114800.31+104235.3,177.001327514648,10.7098331451416,1.93449997901917,3145739.0,1.0,1,-27.6409117731045,0.0,1.0,3.84309746096878,-26.6873944567197,18.7100890723901,46.3166839529356,46.4831312410312,0.0230501323173085,,,,,,,,,177.00124058420036,10.709835496674401,4.20406487995,0.26515040656999994,3.6081970440400006,0.13573512655,-1.0,0.2845960717014695
3057,SDSSJ164400.91+323445.5,251.003825,32.579323,164400.91+323445.5,251.003829956055,32.5793228149414,1.94620001316071,10.0,1.0,1,-26.7715652167914,0.0,1.0,43.0631797200977,-27.042663933618,475.083588195912,45.9521551793659,46.1550743531001,0.0150490861965523,,,,,,,,,251.0038340644107,32.57930803750695,23.83217602505,0.20383460508,23.249773568379997,0.11573036804000005,-1.0,0.060477506274224505
6950,SDSSJ130637.16+172553.1,196.654846,17.431427,130637.16+172553.1,196.654846191406,17.4314270019531,1.81560003757477,3145739.0,1.0,1,-26.9526982745938,1.0,2.0,24.3142023373354,-26.8864100134857,187.184567350229,46.1121340840726,46.1575764926129,6.57455664490558E-4,,,,,,,,,196.6549152607796,17.431461374897488,5.146609654,0.22438530406999999,4.77653012071,0.1224279994,-1.0,0.268150632011862
1398,SDSSJ215808.45+122240.0,329.535233,12.377798,215808.45+122240.0,329.535247802734,12.3777980804443,1.95089995861053,1048578.0,1.0,1,-26.8413564619859,0.0,-1.0,0.0,-26.998772284637,-1.0,45.9690593717659,46.2954725762186,0.0520519489434569,,,,,,,,,329.5352650069,12.377786647747149,17.976510164959997,0.24502144162,15.8931390963,0.1295620899,-1.0,0.11973685537891263
