,col1,Name,RA_1_1,Dec_1_1,SDSS_NAME,RA_2,DEC_2,REDSHIFT,TARGET_FLAG_TARGET,UNIFORM_TARGET,COL_FLAG,MI_Z2,BAL_FLAG,FIRST_FR_TYPE,FINT_REST6CM_MJY_OBS,LOGFNU2500A_ERGS_OBS,R_6CM_2500A,LOGL3000,LOGL1350,Separation_1,RA_1_2,Dec_1_2,r_z,Speak,e_Speak,Sint,e_Sint,Separation_1a,RA,DEC,Total_flux,E_Total_flux,Peak_flux,E_Peak_flux,P_sidelobe,Separation
2491,2371,SDSSJ102805.27+512124.6,157.021999,51.35684,102805.27+512124.6,157.022003173828,51.3568382263184,1.66919994354248,3.0,1.0,1,-26.4241273507959,0.0,0.0,0.0,-27.0404788852707,-1.0,45.902166882304,45.9026229394249,0.0113496449205978,,,,,,,,,,,,,,,,
2493,2545,SDSSJ145848.63+525450.5,224.702627,52.914032,145848.63+525450.5,224.702621459961,52.9140319824219,1.73249995708466,10.0,1.0,1,-27.8707289041009,0.0,1.0,1.79401202771537,-26.5084679173181,5.78486552381789,46.358437877614,46.6255470403643,0.0120267352941978,224.702627,52.914032,VI,3.9,0.1,4.9,0.2,0.0,,,,,,,,
2494,2373,SDSSJ102658.71+523503.5,156.744629,52.584322,102658.71+523503.5,156.74462890625,52.5843238830566,1.74100005626678,1048578.0,1.0,1,-26.4850904366089,0.0,0.0,0.0,-27.0707969073589,-1.0,45.8322672122008,46.1289737987392,0.006782104742277,,,,,,,,,,,,,,,,
2500,2445,SDSSJ141912.62+501025.4,214.802606,50.17373,141912.62+501025.4,214.802612304688,50.1737289428711,1.6706999540329,1048579.0,1.0,1,-26.7157629034912,0.0,0.0,0.0,-26.913326963375,-1.0,45.9925289792743,46.186962030459696,0.0150263912939502,,,,,,,,,,,,,,,,
2501,2446,SDSSJ141836.94+503042.4,214.653945,50.511801,141836.94+503042.4,214.653945922852,50.5118026733398,1.74860000610352,3.0,1.0,1,-26.6622214996605,0.0,0.0,0.0,-27.0414190846427,-1.0,45.8767626494089,46.06401299376449,0.0063837550867099,,,,,,,,,,,,,,,,
2506,1830,SDSSJ110039.04+510902.3,165.162686,51.150642,110039.04+510902.3,165.162689208984,51.1506423950195,1.74619996547699,134224899.0,1.0,1,-28.1412218191945,0.0,0.0,0.0,-26.3531102841476,-1.0,46.5716267465577,46.7736611280761,0.0073847129065504,165.162686,51.150642,VI,1.3,0.1,1.5,0.1,0.0,,,,,,,,
2510,1842,SDSSJ113513.72+513327.2,173.807178,51.557556,113513.72+513327.2,173.807174682617,51.5575561523438,1.65639996528625,1048579.0,1.0,1,-26.7957387544056,0.0,0.0,0.0,-26.7544621554149,-1.0,46.1143021696131,46.33333457983,0.0074452642394522,173.807178,51.557556,DR7Q,0.4,0.1,0.4,0.1,0.0,,,,,,,,
2570,2551,SDSSJ152957.18+495116.4,232.488269,49.854562,152957.18+495116.4,232.488265991211,49.8545608520508,1.67519998550415,1048579.0,1.0,1,-26.4435841925571,1.0,0.0,0.0,-27.0187815036456,-1.0,45.8806802820656,46.106242741282,0.0081146519422768,,,,,,,,,,,,,,,,
2571,2552,SDSSJ152544.08+492551.2,231.433679,49.430906,152544.08+492551.2,231.433685302734,49.4309043884277,1.70490002632141,3.0,1.0,1,-26.5907230907741,0.0,0.0,0.0,-26.937622842221,-1.0,45.9917746464566,46.2298585575105,0.01585618448831,,,,,,,,,,,,,,,,
2576,2558,SDSSJ153745.03+481502.9,234.437634,48.250815,153745.03+481502.9,234.437637329102,48.2508163452148,1.65190005302429,3.0,1.0,1,-26.7542449830127,0.0,0.0,0.0,-26.9446972473113,-1.0,45.9617903762813,46.0745918846819,0.0093347617061771,,,,,,,,,,,,,,,,
2580,2560,SDSSJ153548.42+494818.7,233.951751,49.805214,153548.42+494818.7,233.951751708984,49.80521392822271,1.73129999637604,1048578.0,1.0,1,-26.8440292360915,0.0,0.0,0.0,-26.9693230167203,-1.0,45.9412532347944,46.0919028686896,0.001667396302168,,,,,,,,,,,,,,,,
2618,1834,SDSSJ111228.66+521921.5,168.119424,52.32266,111228.66+521921.5,168.119430541992,52.3226585388184,1.70780003070831,2.0,1.0,1,-26.6882271708711,0.0,0.0,0.0,-26.9457266863807,-1.0,45.9356489813202,46.0412075724118,0.0153258201898966,168.119424,52.32266,DR7Q,,,,,0.0,,,,,,,,
2627,1835,SDSSJ111703.34+521212.3,169.26394,52.203439,111703.34+521212.3,169.263946533203,52.2034378051758,1.69149994850159,3.0,1.0,1,-27.3809948558897,0.0,0.0,0.0,-26.6428080991319,-1.0,46.2749765183038,46.4029081985525,0.0150422769507788,169.26394,52.203439,DR7Q,,,,,0.0,,,,,,,,
2717,1838,SDSSJ112755.24+514808.0,171.980177,51.802235,112755.24+514808.0,171.980178833008,51.8022346496582,1.67410004138947,2.0,1.0,1,-26.5366829297537,0.0,0.0,0.0,-26.9884458419105,-1.0,45.8998197942718,46.1014171955566,0.0042710351255189,171.980177,51.802235,DR7Q,,,,,0.0,,,,,,,,
2833,1847,SDSSJ120406.34+522219.2,181.026457,52.372006,120406.34+522219.2,181.026458740234,52.3720054626465,1.72950005531311,3.0,1.0,1,-26.5493834602757,0.0,0.0,0.0,-27.034566009009,-1.0,45.8801723045764,46.0196902210087,0.0042862523378938,181.026457,52.372006,DR7Q,0.8,0.1,0.8,0.2,0.0,,,,,,,,
2941,1853,SDSSJ122428.99+513755.9,186.120828,51.632217,122428.99+513755.9,186.120834350586,51.6322174072266,1.7311999797821,1048579.0,1.0,1,-27.1248892777103,0.0,0.0,0.0,-26.8160072602388,-1.0,46.116929793785,46.1596274114836,0.0142661965686527,186.120828,51.632217,DR7Q,0.5,0.1,0.5,0.1,0.0,,,,,,,,
3212,1862,SDSSJ124712.27+511059.4,191.801158,51.183179,124712.27+511059.4,191.801162719727,51.1831779479981,1.73389995098114,3.0,1.0,1,-27.5763568672782,0.0,0.0,0.0,-26.5861588678182,-1.0,46.3306625990234,46.490367311901295,0.0113038295990389,191.801158,51.183179,VI,,,,,0.0,,,,,,,,
3248,1867,SDSSJ130422.56+512416.3,196.094036,51.404529,130422.56+512416.3,196.094039916992,51.4045295715332,1.69319999217987,1048579.0,1.0,1,-27.3288177058229,0.0,0.0,0.0,-26.6913198374476,-1.0,46.1977924799,46.3854522053252,0.0090339854982913,196.094036,51.404529,DR7Q,0.4,0.1,0.5,0.1,0.0,,,,,,,,
3406,3498,SDSSJ125503.87+480952.9,193.766161,48.164696,125503.87+480952.9,193.766159057617,48.164695739746094,1.71909999847412,1048586.0,1.0,1,-27.5644900050663,0.0,2.0,243.88580525207,-26.5723856659411,911.112888146814,46.3566811186323,46.637180571704704,0.004757165640156,,,,,,,,,,,,,,,,
4355,8518,SDSSJ134844.91+491330.8,207.187146,49.225224,134844.91+491330.8,207.187149047852,49.2252235412598,1.65180003643036,3.0,1.0,1,-26.8950201270125,0.0,0.0,0.0,-26.8000271517413,-1.0,46.063177497121,46.2738401463825,0.0073536861769218,207.187146,49.225224,DR7Q,,,,,0.0,,,,,,,,
4626,4812,SDSSJ075707.46+522739.2,119.281092,52.460897,075707.46+522739.2,119.281089782715,52.4608955383301,1.73109996318817,2.0,1.0,1,-28.7188428163123,0.0,0.0,0.0,-26.1230001105921,-1.0,46.7763066536736,47.0643452761923,0.0071654238981054,,,,,,,,,,,,,,,,
6838,3469,SDSSJ121436.43+481426.5,183.651833,48.240721,121436.43+481426.5,183.651840209961,48.24072265625,1.73559999465942,1048578.0,1.0,1,-26.556739966476,0.0,0.0,0.0,-27.0919714594816,-1.0,45.82906296283689,46.040403468570304,0.0182860668474734,183.651833,48.240721,DR7Q,,,,,0.0,,,,,,,,
7346,2851,SDSSJ132250.60+500334.7,200.710834,50.059645,132250.60+500334.7,200.710830688477,50.0596466064453,1.72979998588562,10.0,1.0,1,-27.1248646418598,0.0,1.0,110.609447843941,-26.7953156677319,690.411301911782,46.1225244680455,46.3727811262356,0.0095927608980691,200.710834,50.059645,DR7Q,342.8,0.2,532.4,0.9,0.0,200.710703801974,50.05975458816985,81.01230442289001,0.4847602767600001,36.22768626461,0.11769511184,-1.0,0.4961753194075378
7608,7942,SDSSJ081602.19+492502.3,124.009164,49.417323,081602.19+492502.3,124.009162902832,49.4173240661621,1.71410000324249,1048580.0,0.0,1,-26.7928397080136,0.0,0.0,0.0,-26.988403304238,-1.0,45.9542665827537,46.06846368676089,0.0046188859752063,,,,,,,,,,,,,,,,
7708,8060,SDSSJ160332.69+524556.2,240.886229,52.765635,160332.69+524556.2,240.88623046875,52.7656364440918,1.69990003108978,1048580.0,0.0,1,-26.4979182802381,0.0,0.0,0.0,-27.2020533329119,-1.0,45.803495290505,45.3931745872579,0.0061043096369894,,,,,,,,,,,,,,,,
7721,8076,SDSSJ160529.49+515900.6,241.372896,51.983511,160529.49+515900.6,241.372894287109,51.983512878418,1.65579998493195,4.0,0.0,1,-26.4331435857381,0.0,0.0,0.0,-27.0827522114402,-1.0,45.7810504208599,46.1169044108858,0.0077557835332588,,,,,,,,,,,,,,,,
7874,8278,SDSSJ102111.01+491330.3,155.295909,49.225094,102111.01+491330.3,155.295913696289,49.22509384155271,1.71979999542236,2.0,1.0,1,-26.3035902215491,1.0,0.0,0.0,-27.1028114018185,-1.0,45.8700004027007,45.7647210638693,0.0110562650331329,,,,,,,,,,,,,,,,
7911,8320,SDSSJ100140.92+514447.0,150.42052,51.746404,100140.92+514447.0,150.420516967773,51.746402740478494,1.65840005874634,1048578.0,1.0,1,-26.8560833320935,0.0,0.0,0.0,-26.91054211939,-1.0,45.9769588274391,46.0883838417744,0.0081386754715079,,,,,,,,,,,,,,,,
7923,8333,SDSSJ095525.34+515700.9,148.855618,51.950254,095525.34+515700.9,148.855621337891,51.950252532959,1.73249995708466,1048579.0,1.0,1,-26.3726696238842,0.0,0.0,0.0,-27.1673674623676,-1.0,45.7719933299378,45.8671142935948,0.0090964430581903,,,,,,,,,,,,,,,,
